iter	RMSE
0	44206.35484
1	41830.82375
2	39493.45109
3	37376.35453
4	35367.67845
5	33708.52697
6	31998.17629
7	30544.81758
8	29070.18392
9	27841.10718
10	26580.41688
11	25347.51881
12	24290.59024
13	23194.31793
14	22392.18798
15	21614.57618
16	20996.02069
17	20260.15697
18	19607.77161
19	19040.31215
20	18421.14628
21	17892.29676
22	17352.41671
23	16846.56065
24	16272.96814
25	15762.18966
26	15455.21095
27	15103.69666
28	14804.26786
29	14421.74475
30	14076.06926
31	13816.8803
32	13485.48303
33	13120.43756
34	12901.98606
35	12612.53797
36	12356.27943
37	12178.65385
38	12046.75899
39	11767.51021
40	11508.77966
41	11279.76238
42	10968.44379
43	10794.03429
44	10602.79538
45	10456.06845
46	10237.27608
47	10050.32481
48	9912.673673
49	9807.489972
50	9687.152818
51	9517.166157
52	9434.953154
53	9190.820872
54	9012.807391
55	8831.772859
56	8689.929057
57	8534.700484
58	8418.878932
59	8332.910018
60	8195.806829
61	8142.439381
62	8032.938918
63	7961.170436
64	7814.99438
65	7765.575598
66	7656.949718
67	7580.135424
68	7448.091911
69	7355.375704
70	7301.02027
71	7243.085393
72	7171.164847
73	7067.921604
74	6958.666045
75	6824.648978
76	6712.573019
77	6628.110612
78	6555.112891
79	6510.278019
80	6464.835301
81	6383.872939
82	6304.571327
83	6212.640889
84	6156.212121
85	6111.282143
86	6055.5139
87	5966.188027
88	5888.465791
89	5795.140026
90	5758.528044
91	5697.21599
92	5613.346075
93	5537.515948
94	5489.177983
95	5426.925226
96	5375.005614
97	5320.937048
98	5255.556296
99	5221.637574
