iter	Passed	Remaining
0	5	529
1	6	297
2	6	215
3	7	171
4	7	144
5	7	125
6	8	110
7	8	100
8	9	91
9	9	84
10	9	79
11	10	74
12	10	71
13	11	69
14	11	66
15	12	65
16	13	65
17	14	64
18	14	63
19	15	62
20	16	60
21	16	59
22	17	59
23	18	57
24	18	56
25	19	54
26	19	53
27	20	52
28	20	51
29	21	49
30	22	49
31	22	47
32	23	46
33	23	45
34	23	44
35	24	43
36	24	42
37	25	41
38	26	40
39	26	40
40	27	39
41	27	38
42	29	39
43	30	38
44	31	38
45	32	37
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	36	32
53	37	31
54	38	31
55	39	30
56	39	30
57	40	29
58	40	28
59	41	27
60	41	26
61	42	25
62	42	25
63	43	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	50	16
76	51	15
77	51	14
78	52	13
79	52	13
80	52	12
81	53	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
