Name,Subtotal,Shipping,Total,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Shipping Province,Cancelled at,Payment Method,Refunded Amount,Lineitem discount,Shipping Province Name,Lineitem sku_made
#MC14035,1150.0,0.0,1150.0,95.0,Free Shipping,2022-11-01 00:32:29 +0200,10,Hand Towels ( 30cm x 30 cm ) - 30x30 / Off White,35.0,0.0,2017982,C,,Cash on Delivery (COD),0.0,0.0,Cairo,1217
#MC14035,1150.0,0.0,1150.0,95.0,Free Shipping,2022-11-01 00:32:29 +0200,2,Trifle Jacquard Towel - 50x100 / Off white,115.0,0.0,2017976,C,,Cash on Delivery (COD),,0.0,Cairo,3048
#MC14035,1150.0,0.0,1150.0,95.0,Free Shipping,2022-11-01 00:32:29 +0200,1,Trifle Jacquard Towel - 50x100 / Off white,115.0,0.0,2017976,C,,Cash on Delivery (COD),,0.0,Cairo,3048
#MC14035,1150.0,0.0,1150.0,95.0,Free Shipping,2022-11-01 00:32:29 +0200,3,Tender Jacquard Face Towel - 50 x 100 / Off  white,120.0,0.0,2020742,C,,Cash on Delivery (COD),,0.0,Cairo,2927
#MC14035,1150.0,0.0,1150.0,95.0,Free Shipping,2022-11-01 00:32:29 +0200,1,Majesty jacquard face towel. - 50 x 90 / beige,95.0,0.0,2020741,C,,Cash on Delivery (COD),,0.0,Cairo,1589
#MC14035,1150.0,0.0,1150.0,95.0,Free Shipping,2022-11-01 00:32:29 +0200,1,Majesty jacquard face towel. - 50 x 90 / beige,95.0,0.0,2020741,C,,Cash on Delivery (COD),,95.0,Cairo,1589
#MC14036,620.0,50.0,670.0,0.0,Shipping Rate,2022-11-01 04:58:48 +0200,2,Bath mat towel ( foot pattern ) size 50x70 - 50x70 / Grey,130.0,0.0,2018550,C,,Cash on Delivery (COD),0.0,0.0,Cairo,449
#MC14036,620.0,50.0,670.0,0.0,Shipping Rate,2022-11-01 04:58:48 +0200,1,Mattress Protector - 180x200 / White,360.0,0.0,2013627-white,C,,Cash on Delivery (COD),,0.0,Cairo,1660
#MC14037,440.0,50.0,490.0,0.0,Shipping Rate,2022-11-01 07:49:44 +0200,1,MATTRESS TOPPER - 160x200 / White / 5 cm,440.0,0.0,2021306-white,GZ,,Cash on Delivery (COD),0.0,0.0,Giza,1571
#MC14038,600.0,50.0,650.0,0.0,Shipping Rate,2022-11-01 08:08:38 +0200,1,Plain Bathrobe - M / Navy,600.0,0.0,2016626-Navy,C,,Cash on Delivery (COD),0.0,0.0,Cairo,2217
#MC14039,408.0,50.0,458.0,0.0,Shipping Rate,2022-11-01 08:21:14 +0200,6,Face Towel 60x120 - 60x120 / off white,68.0,135.0,2013822-off white,C,,Cash on Delivery (COD),0.0,0.0,Cairo,902
#MC14040,819.98,50.0,869.98,250.0,Shipping Rate,2022-11-01 10:04:12 +0200,2,Comfort Pillow,159.99,0.0,2019255,C,,Cash on Delivery (COD),0.0,0.0,Cairo,691
#MC14040,819.98,50.0,869.98,250.0,Shipping Rate,2022-11-01 10:04:12 +0200,1,Face Towels ( 50cm x 100 cm) - 50x100 / Off White,125.0,0.0,2017983,C,,Cash on Delivery (COD),,125.0,Cairo,909
#MC14040,819.98,50.0,869.98,250.0,Shipping Rate,2022-11-01 10:04:12 +0200,1,Face Towels ( 50cm x 100 cm) - 50x100 / Dark grey,125.0,0.0,2017983,C,,Cash on Delivery (COD),,0.0,Cairo,906
