iter	RMSE
0	43154.39462
1	40694.09492
2	38538.68843
3	36350.89876
4	34371.73517
5	32577.78125
6	31025.58619
7	29608.15659
8	28559.35333
9	27278.62252
10	26118.62492
11	25159.53078
12	24149.75476
13	23346.21466
14	22270.52924
15	21557.7084
16	20971.2291
17	20207.93003
18	19503.18846
19	18997.77075
20	18520.12696
21	17752.19574
22	17150.51337
23	16735.8288
24	16424.14823
25	16251.08722
26	15804.05069
27	15303.84171
28	14769.13924
29	14240.49531
30	13926.89798
31	13646.19941
32	13226.02524
33	12960.50483
34	12625.55567
35	12140.34298
36	11850.43046
37	11515.37465
38	11206.64686
39	10906.85983
40	10779.81944
41	10640.32724
42	10473.81431
43	10241.55567
44	10079.84584
45	9917.459154
46	9782.174366
47	9490.899398
48	9281.581335
49	9177.456215
50	8948.906682
51	8840.927399
52	8679.555884
53	8469.533002
54	8330.588516
55	8227.648176
56	8164.06698
57	7987.735043
58	7913.39306
59	7755.63411
60	7600.327707
61	7485.415986
62	7378.474136
63	7222.23347
64	7100.673376
65	6983.377033
66	6826.97388
67	6737.623299
68	6594.661402
69	6526.080121
70	6424.043146
71	6287.392007
72	6197.105068
73	6087.443682
74	6004.127968
75	5907.249976
76	5837.901701
77	5768.120934
78	5703.101166
79	5638.639983
80	5543.874488
81	5474.142503
82	5377.713359
83	5312.66662
84	5230.189294
85	5164.804142
86	5088.350944
87	5006.774805
88	4957.273685
89	4911.480539
90	4857.841204
91	4780.546662
92	4707.866832
93	4661.035411
94	4624.347608
95	4549.321246
96	4504.69789
97	4454.587804
98	4425.295912
99	4385.609011
