iter	Passed	Remaining
0	60	6010
1	61	2994
2	61	1987
3	61	1483
4	62	1181
5	62	979
6	62	835
7	63	726
8	63	642
9	63	575
10	64	520
11	64	474
12	65	435
13	65	401
14	65	372
15	66	347
16	66	325
17	67	305
18	67	287
19	67	270
20	68	255
21	68	242
22	68	229
23	69	218
24	69	208
25	69	198
26	69	189
27	70	180
28	70	172
29	70	165
30	71	158
31	71	151
32	71	145
33	72	140
34	72	134
35	72	129
36	73	124
37	73	119
38	73	115
39	73	110
40	74	106
41	74	102
42	74	99
43	75	95
44	75	92
45	75	88
46	76	85
47	76	82
48	76	79
49	77	77
50	77	74
51	77	71
52	78	69
53	78	66
54	78	64
55	78	62
56	79	59
57	79	57
58	79	55
59	80	53
60	80	51
61	80	49
62	81	47
63	81	45
64	82	44
65	82	42
66	82	40
67	83	39
68	83	37
69	83	35
70	84	34
71	84	32
72	84	31
73	85	29
74	85	28
75	85	27
76	85	25
77	86	24
78	86	22
79	86	21
80	87	20
81	87	19
82	87	17
83	87	16
84	88	15
85	88	14
86	89	13
87	89	12
88	89	11
89	90	10
90	90	8
91	90	7
92	91	6
93	91	5
94	91	4
95	92	3
96	92	2
97	92	1
98	93	0
99	93	0
