dates,marketing budget
2025-03-20 00:00:00+02:00,0
2025-03-21 00:00:00+02:00,0
2025-03-22 00:00:00+02:00,0
2025-03-23 00:00:00+02:00,261.9067
2025-03-24 00:00:00+02:00,54305.136
2025-03-25 00:00:00+02:00,0
2025-03-26 00:00:00+02:00,0
2025-03-27 00:00:00+02:00,0
2025-03-28 00:00:00+02:00,0
2025-03-29 00:00:00+02:00,0
2025-03-30 00:00:00+02:00,17824.4079
2025-03-31 00:00:00+02:00,699.8888
2025-04-01 00:00:00+02:00,9406.5257
2025-04-02 00:00:00+02:00,62584.4206
2025-04-03 00:00:00+02:00,0
2025-04-04 00:00:00+02:00,54217.1084
2025-04-05 00:00:00+02:00,0
2025-04-06 00:00:00+02:00,0
2025-04-07 00:00:00+02:00,0
2025-04-08 00:00:00+02:00,18653.7559
2025-04-09 00:00:00+02:00,47873.6076
2025-04-10 00:00:00+02:00,0
2025-04-11 00:00:00+02:00,0
2025-04-12 00:00:00+02:00,0
2025-04-13 00:00:00+02:00,0
2025-04-14 00:00:00+02:00,53430.2392
2025-04-15 00:00:00+02:00,0
2025-04-16 00:00:00+02:00,0
2025-04-17 00:00:00+02:00,65115.4491
2025-04-18 00:00:00+02:00,520.871
2025-04-19 00:00:00+02:00,0
2025-04-20 00:00:00+02:00,0
