Created at,Total,Subtotal,marketing,item_count,total_7d_avg,total_30d_avg,items_7d_avg,total_7d_std,total_prev_day,total_prev_week,total_prev_month,total_same_day_last_week,items_same_day_last_week,total_growth_1d,total_growth_1w,quarter,day_of_year,week_of_year,week_sin,week_cos,year_sin,year_cos,total_discount,discount_ratio,avg_shipping_cost,avg_items_per_order,days_to_next_shopping_holiday,next_shopping_holiday,pre_holiday_period
2022-11-01 00:00:00+02:00,8226.94,7826.94,0,47,,,,,,,,,,,,4,305,44,0.781831482,0.623489802,-0.858763958,0.512371412,471,0.060176774,36.36363636,4.272727273,0,Black Friday,1
2022-11-02 00:00:00+02:00,12499.8,11899.8,0,51,,,,,8226.94,,,,,0.519374154,,4,306,44,0.974927912,-0.222520934,-0.849817092,0.527077709,250,0.021008756,46.15384615,3.923076923,0,Black Friday,1
2022-11-03 00:00:00+02:00,8859.89,8309.89,0,39,,,,,12499.8,,,,,-0.291197459,,4,307,44,0.433883739,-0.900968868,-0.840618406,0.541627821,464.99,0.055956216,45.83333333,3.25,0,Black Friday,1
2022-11-04 00:00:00+02:00,9996.93,9746.93,0,39,,,,,8859.89,,,,,0.128335679,,4,308,44,-0.433883739,-0.900968868,-0.831170626,0.556017437,2122.97,0.217809095,22.72727273,3.545454545,0,Black Friday,1
2022-11-05 00:00:00+02:00,13578.82,12848.82,0,64,,,,,9996.93,,,,,0.358298998,,4,309,44,-0.974927912,-0.222520934,-0.821476553,0.570242293,1174.96,0.091444973,42.94117647,3.764705882,0,Black Friday,1
2022-11-06 00:00:00+02:00,15894.89,15164.89,0,82,,,,,13578.82,,,,,0.170564894,,4,310,44,-0.781831482,0.623489802,-0.811539059,0.584298174,2529.86,0.166823498,34.76190476,3.904761905,0,Black Friday,1
2022-11-07 00:00:00+02:00,9945.92,9465.92,0,63,11286.17,,55,2789.073159,15894.89,,,,,-0.374269341,,4,311,45,0,1,-0.801361088,0.598180914,1889.94,0.199657297,36.92307692,4.846153846,0,Black Friday,1
2022-11-08 00:00:00+02:00,10616.88,9916.88,0,64,11627.59,,57.42857143,2481.486856,9945.92,8226.94,,8226.94,47,0.067460828,0.290501693,4,312,45,0.781831482,0.623489802,-0.790945657,0.611886401,2104.95,0.212259299,50,4.571428571,0,Black Friday,1
2022-11-09 00:00:00+02:00,14919.74,14359.74,0,82,11973.29571,,61.85714286,2774.514263,10616.88,12499.8,,12499.8,51,0.405284792,0.193598298,4,313,45,0.974927912,-0.222520934,-0.780295851,0.625410573,2314.95,0.161211136,32.94117647,4.823529412,0,Black Friday,1
2022-11-10 00:00:00+02:00,5767.91,5517.91,0,47,11531.58429,,63,3503.220665,14919.74,8859.89,,8859.89,39,-0.613404121,-0.348986274,4,314,45,0.433883739,-0.900968868,-0.769414827,0.638749422,1584.98,0.287242815,31.25,5.875,0,Black Friday,1
2022-11-11 00:00:00+02:00,15819.89,15469.89,0,74,12363.43571,,68,3760.006532,5767.91,9996.93,,9996.93,39,1.742742172,0.58247482,4,315,45,-0.433883739,-0.900968868,-0.758305808,0.651898996,1559.98,0.10083976,23.33333333,4.933333333,0,Black Friday,1
2022-11-12 00:00:00+02:00,12731.95,12381.95,0,66,12242.45429,,68.28571429,3727.869878,15819.89,13578.82,,13578.82,64,-0.195193519,-0.06236698,4,316,45,-0.974927912,-0.222520934,-0.746972088,0.664855398,1370,0.110644931,23.33333333,4.4,0,Black Friday,1
2022-11-13 00:00:00+02:00,22111.87,21701.87,0,78,13130.59429,,67.71428571,5194.959324,12731.95,15894.89,,15894.89,82,0.736722969,0.391130734,4,317,45,-0.781831482,0.623489802,-0.735417023,0.677614789,3539.98,0.163118662,27.33333333,5.2,0,Black Friday,1
2022-11-14 00:00:00+02:00,11703.93,11473.93,0,41,13381.73857,,64.57142857,5055.975355,22111.87,9945.92,,9945.92,63,-0.470694699,0.176756901,4,318,46,0,1,-0.723644038,0.690173388,4089.98,0.356458511,20.90909091,3.727272727,0,Black Friday,1
2022-11-15 00:00:00+02:00,5049.93,4849.93,0,34,12586.46,,60.28571429,5926.278144,11703.93,10616.88,,10616.88,64,-0.568526982,-0.524348961,4,319,46,0.781831482,0.623489802,-0.711656622,0.702527474,665,0.137115381,28.57142857,4.857142857,0,Black Friday,1
2022-11-16 00:00:00+02:00,18763.93,18313.93,0,61,13135.63,,57.28571429,6342.061469,5049.93,14919.74,,14919.74,82,2.715681207,0.257657975,4,320,46,0.974927912,-0.222520934,-0.699458327,0.714673386,3194.96,0.174455182,23.68421053,3.210526316,15,Black Friday,0
2022-11-17 00:00:00+02:00,6477.96,6277.96,0,28,13237.06571,,54.57142857,6208.860731,18763.93,5767.91,,5767.91,47,-0.654765286,0.123103516,4,321,46,0.433883739,-0.900968868,-0.687052767,0.726607525,915,0.145747982,22.22222222,3.111111111,14,Black Friday,0
2022-11-18 00:00:00+02:00,17137.9,17007.9,0,107,13425.35286,,59.28571429,6319.244048,6477.96,15819.89,,15819.89,74,1.645570519,0.083313474,4,322,46,-0.433883739,-0.900968868,-0.674443619,0.738326354,7287.87,0.428499109,8.125,6.6875,13,Black Friday,0
2022-11-19 00:00:00+02:00,23179.85,22979.85,0,119,14917.91,,66.85714286,7287.802495,17137.9,12731.95,,12731.95,66,0.352549029,0.820604856,4,323,46,-0.974927912,-0.222520934,-0.661634618,0.749826401,3213,0.139818145,12.5,7.4375,12,Black Friday,0
