Name,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Currency,Subtotal,Shipping,Taxes,Total,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing City,Billing Zip,Billing Province,Billing Country,Shipping City,Shipping Province,Shipping Country,Cancelled at,Payment Method,Refunded Amount,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Duties,Billing Province Name,Shipping Province Name
#MC14035,paid,2022-11-02 18:15:40 +0200,fulfilled,2022-11-01 15:46:43 +0200,EGP,1150,0,0,1150,95,Free Shipping,2022-11-01 00:32:29 +0200,10,Hand Towels ( 30cm x 30 cm ) - 30x30 / Off White,35,,2017982,TRUE,TRUE,fulfilled,Cairo,'12345,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14035,,,,,,,,,,,,2022-11-01 00:32:29 +0200,2,Trifle Jacquard Towel - 50x100 / Off white,115,,2017976,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14035,,,,,,,,,,,,2022-11-01 00:32:29 +0200,1,Trifle Jacquard Towel - 50x100 / Off white,115,,2017976,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14035,,,,,,,,,,,,2022-11-01 00:32:29 +0200,3,Tender Jacquard Face Towel - 50 x 100 / Off  white,120,,2020742,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14035,,,,,,,,,,,,2022-11-01 00:32:29 +0200,1,Majesty jacquard face towel. - 50 x 90 / beige,95,,2020741,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14035,,,,,,,,,,,,2022-11-01 00:32:29 +0200,1,Majesty jacquard face towel. - 50 x 90 / beige,95,,2020741,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,95,,,,,,,,,,,,,
#MC14036,paid,2022-11-02 18:16:13 +0200,fulfilled,2022-11-01 15:44:58 +0200,EGP,620,50,0,670,0,Shipping Rate,2022-11-01 04:58:48 +0200,2,Bath mat towel ( foot pattern ) size 50x70 - 50x70 / Grey,130,,2018550,TRUE,TRUE,fulfilled,New Cairo,'3,C,EG,New Cairo,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14036,,,,,,,,,,,,2022-11-01 04:58:48 +0200,1,Mattress Protector - 180x200 / White,360,0,2013627-white,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14037,paid,2022-11-02 15:46:50 +0200,fulfilled,2022-11-01 15:47:59 +0200,EGP,440,50,0,490,0,Shipping Rate,2022-11-01 07:49:44 +0200,1,MATTRESS TOPPER - 160x200 / White / 5 cm,440,0,2021306-white,TRUE,TRUE,fulfilled,الجيزه,,GZ,EG,الجيزه,GZ,EG,,Cash on Delivery (COD),0,Nexus,Low,web,0,,,,,,,,,,,,Giza,Giza
#MC14038,paid,2023-01-24 15:53:52 +0200,fulfilled,2022-11-01 15:45:11 +0200,EGP,600,50,0,650,0,Shipping Rate,2022-11-01 08:08:38 +0200,1,Plain Bathrobe - M / Navy,600,0,2016626-Navy,TRUE,TRUE,fulfilled,القاهرة,'11865,C,EG,القاهرة,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14039,paid,2022-11-02 18:18:24 +0200,fulfilled,2022-11-01 15:45:26 +0200,EGP,408,50,0,458,0,Shipping Rate,2022-11-01 08:21:14 +0200,6,Face Towel 60x120 - 60x120 / off white,68,135,2013822-off white,TRUE,TRUE,fulfilled,Cairo,'3,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
