Date,"Transactions (( Dollar ))","Rate "" Bank """,Ads spending,,,,,,,,,,,,,,
2024-01-01,0,30.9,0,,,,,,,,,,,,,,
2024-01-02,0,30.9,0,,,,,,,,,,,,,,
2024-01-03,638.78,30.9,19738.302,,,,,,,,,,,,,,
2024-01-04,130.34,30.9,4027.506,,,,,,,,,,,,,,
2024-01-05,617.96,30.9,19094.964,,,,,,,,,,,,,,
2024-01-06,32.21,30.9,995.289,,,,,,,,,,,,,,
2024-01-07,329.99,30.9,10196.691,,,,,,,,,,,,,,
2024-01-08,136,30.9,4202.4,,,,,,,,,,,,,,
2024-01-09,662.19,30.9,20461.671,,,,,,,,,,,,,,
2024-01-10,747,31,23074.83,,,,,,,,,,,,,,
2024-01-11,130.08,31,4018.1712,,,,,,,,,,,,,,
2024-01-12,0,31,0,,,,,,,,,,,,,,
2024-01-13,0,31,0,,,,,,,,,,,,,,
2024-01-14,130.34,31,4026.2026,,,,,,,,,,,,,,
2024-01-15,130.02,31,4016.3178,,,,,,,,,,,,,,
2024-01-16,130.03,31,4016.6267,,,,,,,,,,,,,,
2024-01-17,1-17-2024,31,1399564.12,,,,,,,,,,,,,,
2024-01-18,130.29,31,4024.6581,,,,,,,,,,,,,,
2024-01-19,15.99,31,493.9311,,,,,,,,,,,,,,
2024-01-20,193,30.82,5948.26,,,,,,,,,,,,,,
2024-01-21,130.02,30.82,4007.2164,,,,,,,,,,,,,,
2024-01-22,130.02,30.82,4007.2164,,,,,,,,,,,,,,
2024-01-23,,30.82,0,,,,,,,,,,,,,,
2024-01-24,,30.82,0,,,,,,,,,,,,,,
2024-01-25,130.34,30.82,4017.0788,,,,,,,,,,,,,,
2024-01-26,130.3,30.82,4015.846,,,,,,,,,,,,,,
2024-01-27,130.02,30.82,4007.2164,,,,,,,,,,,,,,
2024-01-28,130.02,30.82,4007.2164,,,,,,,,,,,,,,
2024-01-29,,30.82,0,,,,,,,,,,,,,,
2024-01-30,238.14,30.82,7339.4748,,,,,,,,,,,,,,
2024-01-31,26,30.82,801.32,,,,,,,,,,,,,,
2024-02-01,,,"9,745",,,,,,,,,,,,,,
2024-02-02,203.48,30.82,17669,,,,,,,,,,,,,,
2024-02-03,897.32,30.9,37889,,,,,,,,,,,,,,
2024-02-04,,30.9,10081,,,,,,,,,,,,,,
2024-02-05,,30.9,5754,,,,,,,,,,,,,,
2024-02-06,130.29,30.9,12311,,,,,,,,,,,,,,
2024-02-07,4.28,30.9,8743,,,,,,,,,,,,,,
2024-02-08,,30.9,8008,,,,,,,,,,,,,,
2024-02-09,,30.9,5372,,,,,,,,,,,,,,
2024-02-10,,30.9,4153,,,,,,,,,,,,,,
2024-02-11,130.02,30.9,9336,,,,,,,,,,,,,,
2024-02-12,8.49,30.9,8286,,,,,,,,,,,,,,
2024-02-13,174.78,30.9,17625,,,,,,,,,,,,,,
2024-02-14,129.96,30.9,12266,,,,,,,,,,,,,,
2024-02-15,0,30.9,8973,,,,,,,,,,,,,,
2024-02-16,,30.9,9670,,,,,,,,,,,,,,
2024-02-17,,30.9,9984,,,,,,,,,,,,,,
