,Name,Created at,Subtotal,Shipping,Total,Discount Amount,Shipping Method,Shipping Province,Shipping Province Name,Payment Method,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem quantity,Cancelled at,Refunded Amount,month,day_of_week,year,year_month,season,holiday_name,is_holiday,is_weekend,day_type,item_count
0,#MC14035,2022-11-01,1150.0,0.0,1150.0,95.0,Free Shipping,C,Cairo,Cash on Delivery (COD),"['Hand Towels ( 30cm x 30 cm ) - 30x30 / Off White', 'Trifle Jacquard Towel - 50x100 / Off white', 'Trifle Jacquard Towel - 50x100 / Off white', 'Tender Jacquard Face Towel - 50 x 100 / Off  white', 'Majesty jacquard face towel. - 50 x 90 / beige', 'Majesty jacquard face towel. - 50 x 90 / beige']","[35.0, 115.0, 115.0, 120.0, 95.0, 95.0]","nan, nan, nan, nan, nan, nan","['2017982', '2017976', '2017976', '2020742', '2020741', '2020741']","[10, 2, 1, 3, 1, 1]",,0.0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,18
1,#MC14036,2022-11-01,620.0,50.0,670.0,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),"['Bath mat towel ( foot pattern ) size 50x70 - 50x70 / Grey', 'Mattress Protector - 180x200 / White']","[130.0, 360.0]","nan, 0.0","['2018550', '2013627-white']","[2, 1]",,0.0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,3
2,#MC14037,2022-11-01,440.0,50.0,490.0,0.0,Shipping Rate,GZ,Giza,Cash on Delivery (COD),['MATTRESS TOPPER - 160x200 / White / 5 cm'],[440.0],0.0,['2021306-white'],[1],,0.0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,1
3,#MC14038,2022-11-01,600.0,50.0,650.0,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),['Plain Bathrobe - M / Navy'],[600.0],0.0,['2016626-Navy'],[1],,0.0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,1
4,#MC14039,2022-11-01,408.0,50.0,458.0,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),['Face Towel 60x120 - 60x120 / off white'],[68.0],135.0,['2013822-off white'],[6],,0.0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,6
5,#MC14040,2022-11-01,819.98,50.0,869.98,250.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),"['Comfort Pillow', 'Face Towels ( 50cm x 100 cm) - 50x100 / Off White', 'Face Towels ( 50cm x 100 cm) - 50x100 / Dark grey', 'Face Towels ( 50cm x 100 cm) - 50x100 / Mint', 'Face Towels ( 50cm x 100 cm) - 50x100 / Grey', 'Face Towels ( 50cm x 100 cm) - 50x100 / Dark Rose', 'Face Towels ( 50cm x 100 cm) - 50x100 / Coffee']","[159.99, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0]","nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","['2019255', '2017983', '2017983', '2017983', '2017983', '2017983', '2017983']","[2, 1, 1, 1, 1, 1, 1]",,0.0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,8
6,#MC14041,2022-11-01,819.98,50.0,869.98,0.0,Shipping Rate,SU,6th of October,Cash on Delivery (COD),"['Bathrobe Jacquard - Free size / Navy', 'Face Towel ( Versace ) - 50x100 / Pink']","[699.99, 119.99]","0.0, nan","['2014451-navy', '2011284-Pink']","[1, 1]",,0.0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,2
7,#MC14042,2022-11-01,1134.0,0.0,1134.0,126.0,Free Shipping,C,Cairo,manual,"['throw striped coverlet - 240x240 / Sky blue', 'Bath mat towel ( foot pattern ) size 50x70 - 50x70 / White', 'Bath mat towel ( Versace ) - 50x70 / Grey']","[1000.0, 130.0, 130.0]","0.0, nan, 0.0","['2014453-sky blue', '2018550', '2013086-Grey']","[1, 1, 1]",,0.0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,3
8,#MC14043,2022-11-01,1085.0,0.0,1085.0,0.0,Free Shipping,ALX,Alexandria,Cash on Delivery (COD),"['Kids bed sheet 6pc set ( oriental star design)', 'Bed sheet 5pcs set (Grey Flower)']","[600.0, 485.0]","0.0, nan","['2018676-oriental star', '2018694-Grey Flower']","[1, 1]",,0.0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,2
9,#MC14044,2022-11-01,350.0,50.0,400.0,0.0,Shipping Rate,SU,6th of October,PayTabs Egypt,['Kids Bathrobe (printed) - 2Years / Sky Blue'],[350.0],,['2014452-sky blue'],[1],,0.0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,1
10,#MC14045,2022-11-01,399.98,50.0,449.98,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),['Lotus Embroidered Hand Towels Set - 30x30 / Beige'],[199.99],,['2022040'],[2],,0.0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,2
11,#MC14046,2022-11-02,855.0,50.0,905.0,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),"['Bath mat towel', 'Towels set ( 3 pieces ) - Sky blue', 'Nano Fiber Feather Pillow', 'Microfiber pillow']","[100.0, 350.0, 295.0, 110.0]","nan, nan, nan, 0.0","['2012490', '2013082-ice blue', '2022435', '59087']","[1, 1, 1, 1]",,0.0,11,Wednesday,2022,2022-11,Fall,,False,False,Weekday,4
12,#MC14047,2022-11-02,359.98,50.0,409.98,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),"['Bath mat towel ( foot ) - 50x90 / White', 'Hand Towels ( 30cm x 30 cm ) - 30x30 / Pink', 'Face Towel ( Versace ) - 50x100 / Pink']","[169.99, 35.0, 119.99]","nan, nan, nan","['2013085-white', '2017982', '2011284-Pink']","[1, 2, 1]",,0.0,11,Wednesday,2022,2022-11,Fall,,False,False,Weekday,4
13,#MC14048,2022-11-02,480.0,50.0,530.0,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),['Mattress Protector - 120x200 / White'],[240.0],0.0,['2013625-white'],[2],,0.0,11,Wednesday,2022,2022-11,Fall,,False,False,Weekday,2
14,#MC14049,2022-11-02,2179.97,50.0,2229.97,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),"['Kids Towel ( Disney prints ) - 50x70 / Micky mouse', 'Percale Fitted Sheet - 100x200 / Off white', 'Percale Fitted Sheet - 200x200 / Off white']","[79.99, 330.0, 640.0]","0.0, nan, 0.0","['2012810-Micky mouse', '2016773-off white', '2016777-off white']","[3, 2, 2]",,0.0,11,Wednesday,2022,2022-11,Fall,,False,False,Weekday,7
15,#MC14050,2022-11-02,304.98,50.0,354.98,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),"['Kitchen Towel size 50x70 - 50x70 / Light blue', 'Hand Towels ( 30cm x 30 cm ) - 30x30 / Off White', 'Christmas Towels', 'Kitchen Towel ( fruits & vegetables ) - 45x55 / Teal']","[40.0, 35.0, 150.0, 39.99]","nan, nan, nan, nan","['2013084-light blue', '2017982', '2017986-pack', '2011298-Teal']","[1, 1, 1, 2]",,0.0,11,Wednesday,2022,2022-11,Fall,,False,False,Weekday,5
16,#MC14051,2022-11-02,1739.98,0.0,1739.98,0.0,Free Shipping,C,Cairo,Cash on Delivery (COD),"['Towels set ( 3 pieces ) - Beige', 'Towels set ( 3 pieces ) - White', 'Bath mat towel ( foot ) - 50x90 / White']","[350.0, 350.0, 169.99]","nan, nan, nan","['2013082-beige', '2013082-white', '2013085-white']","[2, 2, 2]",,0.0,11,Wednesday,2022,2022-11,Fall,,False,False,Weekday,6
