Name,Created at,Subtotal,Shipping,Total,Discount Amount,Shipping Method,Shipping Province,Shipping Province Name,Payment Method,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem sku_made,Lineitem quantity,Lineitem discount,Cancelled at,Refunded Amount,hour,month,day_of_week,year,year_month,season,holiday_name,is_holiday,is_weekend,day_type,item_count
#MC14035,2022-11-01 00:32:29+02:00,1150.0,0.0,1150.0,95.0,Free Shipping,C,Cairo,Cash on Delivery (COD),Hand Towels ( 30cm x 30 cm ) - 30x30 / Off White,35.0,0.0,2017982,1210,10,0.0,,0.0,0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,18
#MC14035,2022-11-01 00:32:29+02:00,1150.0,0.0,1150.0,95.0,Free Shipping,C,Cairo,Cash on Delivery (COD),Trifle Jacquard Towel - 50x100 / Off white,115.0,0.0,2017976,3025,2,0.0,,0.0,0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,18
#MC14035,2022-11-01 00:32:29+02:00,1150.0,0.0,1150.0,95.0,Free Shipping,C,Cairo,Cash on Delivery (COD),Trifle Jacquard Towel - 50x100 / Off white,115.0,0.0,2017976,3025,1,0.0,,0.0,0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,18
#MC14035,2022-11-01 00:32:29+02:00,1150.0,0.0,1150.0,95.0,Free Shipping,C,Cairo,Cash on Delivery (COD),Tender Jacquard Face Towel - 50 x 100 / Off  white,120.0,0.0,2020742,2904,3,0.0,,0.0,0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,18
#MC14035,2022-11-01 00:32:29+02:00,1150.0,0.0,1150.0,95.0,Free Shipping,C,Cairo,Cash on Delivery (COD),Majesty jacquard face towel. - 50 x 90 / beige,95.0,0.0,2020741,1576,1,0.0,,0.0,0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,18
#MC14035,2022-11-01 00:32:29+02:00,1150.0,0.0,1150.0,95.0,Free Shipping,C,Cairo,Cash on Delivery (COD),Majesty jacquard face towel. - 50 x 90 / beige,95.0,0.0,2020741,1576,1,95.0,,0.0,0,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,18
#MC14036,2022-11-01 04:58:48+02:00,620.0,50.0,670.0,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),Bath mat towel ( foot pattern ) size 50x70 - 50x70 / Grey,130.0,0.0,2018550,449,2,0.0,,0.0,4,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,3
#MC14036,2022-11-01 04:58:48+02:00,620.0,50.0,670.0,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),Mattress Protector - 180x200 / White,360.0,0.0,2013627-white,1646,1,0.0,,0.0,4,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,3
#MC14037,2022-11-01 07:49:44+02:00,440.0,50.0,490.0,0.0,Shipping Rate,GZ,Giza,Cash on Delivery (COD),MATTRESS TOPPER - 160x200 / White / 5 cm,440.0,0.0,2021306-white,1558,1,0.0,,0.0,7,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,1
#MC14038,2022-11-01 08:08:38+02:00,600.0,50.0,650.0,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),Plain Bathrobe - M / Navy,600.0,0.0,2016626-Navy,2200,1,0.0,,0.0,8,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,1
#MC14039,2022-11-01 08:21:14+02:00,408.0,50.0,458.0,0.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),Face Towel 60x120 - 60x120 / off white,68.0,135.0,2013822-off white,897,6,0.0,,0.0,8,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,6
#MC14040,2022-11-01 10:04:12+02:00,819.98,50.0,869.98,250.0,Shipping Rate,C,Cairo,Cash on Delivery (COD),Comfort Pillow,159.99,0.0,2019255,689,2,0.0,,0.0,10,11,Tuesday,2022,2022-11,Fall,,False,False,Weekday,8
