iter	RMSE
0	43303.16857
1	40565.69221
2	38248.33186
3	36138.74904
4	34293.35449
5	32608.67831
6	30804.18033
7	29291.21676
8	27757.46269
9	26332.65765
10	25013.19278
11	24006.41736
12	22809.58501
13	21832.3651
14	20993.21239
15	20143.42806
16	19412.06098
17	18813.82355
18	18219.76904
19	17740.8501
20	17197.00821
21	16832.24102
22	16422.04988
23	16022.12525
24	15540.70372
25	15167.00909
26	14828.81319
27	14520.49654
28	14099.83025
29	13721.74896
30	13369.30758
31	13138.24507
32	12786.18125
33	12495.56406
34	12377.12911
35	12086.97827
36	11759.90988
37	11491.15815
38	11323.16019
39	11115.73228
40	10872.05293
41	10692.0255
42	10515.88707
43	10336.92433
44	10192.96378
45	10090.84597
46	9904.396649
47	9705.231195
48	9530.087172
49	9427.625119
50	9224.332161
51	9140.403114
52	8992.335632
53	8912.769558
54	8762.475345
55	8611.514051
56	8487.660716
57	8405.429051
58	8335.555998
59	8257.882019
60	8163.145191
61	8057.292637
62	7961.012033
63	7855.078563
64	7769.096848
65	7719.986118
66	7637.595773
67	7544.481565
68	7469.772448
69	7343.832071
70	7282.822641
71	7196.072633
72	7100.63513
73	7060.030857
74	6946.846456
75	6879.247561
76	6829.050293
77	6730.664494
78	6679.20921
79	6659.224176
80	6622.290648
81	6581.772518
82	6493.231871
83	6398.738041
84	6375.343996
85	6282.266002
86	6257.034996
87	6165.06469
88	6125.239746
89	6065.269247
90	6001.261239
91	5986.736757
92	5969.369158
93	5892.335386
94	5815.649184
95	5748.059636
96	5678.581754
97	5661.031791
98	5614.210978
99	5547.91495
