iter	Passed	Remaining
0	54	5423
1	55	2706
2	55	1799
3	56	1344
4	56	1071
5	56	892
6	57	763
7	58	667
8	58	591
9	58	530
10	59	479
11	59	437
12	60	402
13	60	371
14	60	344
15	61	321
16	61	300
17	61	282
18	62	265
19	62	250
20	63	237
21	63	225
22	64	214
23	64	204
24	65	195
25	65	186
26	65	178
27	66	170
28	66	163
29	67	156
30	67	150
31	67	144
32	68	138
33	68	133
34	68	128
35	69	123
36	69	118
37	69	114
38	70	110
39	70	106
40	71	102
41	71	98
42	71	95
43	72	91
44	72	88
45	72	85
46	73	82
47	73	79
48	73	76
49	74	74
50	74	71
51	74	69
52	75	66
53	75	64
54	75	62
55	76	59
56	76	57
57	76	55
58	77	53
59	77	51
60	77	49
61	78	48
62	78	46
63	79	44
64	79	42
65	79	41
66	80	39
67	80	37
68	80	36
69	81	34
70	81	33
71	81	31
72	82	30
73	82	28
74	82	27
75	83	26
76	83	24
77	83	23
78	83	22
79	84	21
80	84	19
81	85	18
82	85	17
83	85	16
84	86	15
85	86	14
86	86	12
87	87	11
88	87	10
89	87	9
90	88	8
91	88	7
92	88	6
93	89	5
94	89	4
95	89	3
96	90	2
97	90	1
98	90	0
99	91	0
